text,label
Chtěla bych posílat dceři měsíčně peníze na její účet.,zadat_trvaly_prikaz
Chtěl bych měsíčně posílat peníze na charitu.,zadat_trvaly_prikaz
Chtěl bych si nastavit měsíční zálohy na elektřinu.,zadat_trvaly_prikaz
Chtěl bych si nastavit trvalou platbu.,zadat_trvaly_prikaz
Chtěl bych si nastavit trvalý příkaz.,zadat_trvaly_prikaz
Dá se po telefonu nastavit trvalá platba?,zadat_trvaly_prikaz
Dá se přes telefon nastavit trvalý příkaz?,zadat_trvaly_prikaz
"Dá se takhle po telefonu zřídit trvalý příkaz, nebo musím do banky?",zadat_trvaly_prikaz
"Nenašel jsem, kde se na internetovém bankovnictví nastaví trvalý příkaz. Pomůžete mi?",zadat_trvaly_prikaz
Potřeboval bych nastavit měsíční zálohy na elektřinu.,zadat_trvaly_prikaz
zadat trvalý příkaz,zadat_trvaly_prikaz
žádná operace,zadna_operace
žádnou,zadna_operace
Dejte mi chvilku.,zadost_o_strpeni
Jen si dojdu pro číslo účtu.,zadost_o_strpeni
Jen si to připravím.,zadost_o_strpeni
Minutku,zadost_o_strpeni
Minutku prosím,zadost_o_strpeni
Mohl bys chvíli počkat.,zadost_o_strpeni
Počkej,zadost_o_strpeni
Počkejte,zadost_o_strpeni
"Počkejte chvilinku, jen si najdu údaje",zadost_o_strpeni
"Počkejte, musím se podívat.",zadost_o_strpeni
Počkejte prosím,zadost_o_strpeni
Vydrž,zadost_o_strpeni
Vydrž prosím,zadost_o_strpeni
Mohl bych přes vás upravit výši částky inkasa? Nemám internetové bankovnictví.,zmenit_inkaso
"Změnila se výše částky na mém inkasu, takže ho potřebuji změnit.",zmenit_inkaso
změnit inkaso,zmenit_inkaso
Chtěl bych upravit datum v trvalém příkazu,zmenit_trvaly_prikaz
Chtěl bych změnit trvalý příkaz.,zmenit_trvaly_prikaz
Potřeboval bych upravit částku na trvalém příkazu.,zmenit_trvaly_prikaz
změnit trvalý příkaz,zmenit_trvaly_prikaz
"Zvýšily se mi měsíční zálohy za elektřinu, a potřebuji upravit částku.",zmenit_trvaly_prikaz
Chci platbu zrušit,zruseni_platby
Poslal jsem peníze na špatný účet. Jde to vrátit?,zruseni_platby
"Zadal jsem špatné číslo účtu, je možné zrušit tu platbu?",zruseni_platby
zrušit platbu,zruseni_platby
"Chci zrušit souhlas s inkasem, ale nemůžu to to tam nikde najít.",zrusit_inkaso
"Potřebuji zrušit souhlas s inkasem, ale na pobočku se teď nedostanu.",zrusit_inkaso
"Prosím vás, chtěl bych zrušit inkaso, ale s internetovým bankovnictvím to neumím. Pomůžete mi?",zrusit_inkaso
zrušit inkaso,zrusit_inkaso
"Chtěl bych zrušit trvalé platby, je to možné?",zrusit_trvaly_prikaz
"Nenašel jsem, kde se na internetovém bankovnictví zruší trvalý příkaz. Pomůžete mi?",zrusit_trvaly_prikaz
Potřebuji zrušit trvalý příkaz.,zrusit_trvaly_prikaz
zrušit trvalý příkaz,zrusit_trvaly_prikaz
Kolik je na účtu,zustatek_uctu
Kolik mi zbývá,zustatek_uctu
Kolik na účtu zbývá,zustatek_uctu
Kolik peněz je na účtu,zustatek_uctu
Kolik peněz mi zbývá,zustatek_uctu
Kolik zbývá na účtu,zustatek_uctu
zůstatek,zustatek_uctu
